Latitude,Longitude
-21.180962,14.482235
-21.179463,14.493947
-21.186773,14.498802
-21.182683,14.490473
-21.173556,14.507034
-21.175448,14.505331
-21.186843,14.504735
-21.175478,14.507171
-21.171200,14.502859
-21.186999,14.513562
-21.170753,14.505918
-21.172513,14.501392
-21.176455,14.507782
-21.183589,14.499133
-21.180278,14.500077
-21.179301,14.505098
-21.183903,14.505472
-21.180514,14.507870
-21.187812,14.508449
-21.175269,14.502823
-21.171111,14.502763
-21.174724,14.504698
-21.175635,14.504924
-21.169944,14.502011
-21.172828,14.500392
-21.177816,14.493304
-21.166992,14.492070
-21.164151,14.484162
-21.163040,14.479921
-21.167202,14.488599
-21.176551,14.487273
-21.162041,14.489106
-21.164912,14.484433
-21.165412,14.483951
-21.169111,14.484654
-21.161722,14.482073
-21.161712,14.480174
-21.161546,14.485284
-21.160993,14.480969
-21.162107,14.485008
-21.167373,14.477343
-21.164618,14.479054
-21.167929,14.475533
-21.168058,14.478267
-21.168244,14.480518
-21.168040,14.478896
-21.162609,14.475713
-21.164079,14.479525
-21.160528,14.476550
-21.163305,14.472455
-21.176701,14.479562
-21.172019,14.478880
-21.176360,14.469176
-21.163711,14.462290
-21.168612,14.465557
-21.172908,14.471951
-21.172080,14.470499
-21.172299,14.478855
-21.172281,14.473575
-21.177291,14.472938
-21.172307,14.474302
-21.175401,14.476749
-21.172129,14.471070
-21.180755,14.511098
-21.184455,14.493467
-21.181866,14.496651
-21.178719,14.630009
-21.182594,14.634356
-21.185389,14.637823
-21.183041,14.643123
-21.182575,14.642524
-21.185672,14.638117
-21.184887,14.638347
-21.185220,14.614995
-21.185534,14.635839
-21.181510,14.634508
-21.121069,14.488714
-21.132318,14.483766
-21.130639,14.486091
-21.127163,14.471426
-21.126536,14.486010
-21.133077,14.487258
-21.126690,14.472685
-21.115774,14.474853
-21.120022,14.475712
-21.120715,14.476281
-21.115503,14.475188
-21.119420,14.479390
-21.123488,14.474173
-21.120555,14.470706
-21.119022,14.474308
-21.122195,14.479532
-21.118084,14.473085
-21.120633,14.474915
-21.120225,14.479697
-21.113330,14.477304
-21.107677,14.476065
-21.112526,14.469304
-21.110776,14.466889
-21.106753,14.468366
-21.114431,14.470362
-21.114952,14.468964
-21.113052,14.452709
-21.113334,14.461703
-21.110382,14.468103
-21.118981,14.461616
-21.116856,14.457673
-21.123366,14.452036
-21.123167,14.454075
-21.122374,14.454041
-21.115440,14.459215
-21.121321,14.460692
-21.121962,14.456105
-21.169458,14.460581
-21.174672,14.464926
-21.162474,14.454649
-21.166299,14.456723
-21.167474,14.459463
-21.169366,14.445417
-21.161643,14.448487
-21.201028,14.593035
-21.236615,14.589832
-21.241833,14.589618
-21.241267,14.593692
-21.228306,14.594878
-21.231680,14.590702
-21.228975,14.593151
-21.228057,14.593811
-21.232992,14.588667
-21.232884,14.588680
-21.220485,14.591041
-21.220188,14.590152
-21.215687,14.590014
-21.223006,14.586942
-21.209832,14.592342
-21.214429,14.592459
-21.206843,14.588277
-21.212846,14.593777
-21.207101,14.589250
-21.213345,14.594489
-21.207228,14.592239
-21.204483,14.587938
-21.202617,14.586527
-21.210233,14.551446
-21.213238,14.567785
-21.209633,14.582496
-21.210067,14.585231
-21.214254,14.580085
-21.212962,14.585165
-21.208673,14.576837
-21.206554,14.577922
-21.213808,14.578339
-21.211521,14.574920
-21.198329,14.580227
-21.199290,14.583395
-21.203293,14.581287
-21.201875,14.579258
-21.197263,14.575026
-21.199269,14.567090
-21.202289,14.572087
-21.197995,14.569332
-21.202316,14.574346
-21.199021,14.575099
-21.199015,14.575789
-21.208780,14.557792
-21.209618,14.562834
-21.229958,14.584545
-21.220587,14.585486
-21.210657,14.565382
-21.207590,14.559159
-21.198558,14.560723
-21.204655,14.564760
-21.203104,14.565065
-21.222953,14.576915
-21.200688,14.560241
-21.197691,14.556822
-21.194931,14.561836
-21.194890,14.556737
-21.190544,14.548098
-21.192484,14.555769
-21.196348,14.553565
-21.189297,14.566296
-21.193447,14.558697
-21.193122,14.559156
-21.193099,14.565118
-21.194667,14.560531
-21.196667,14.564193
-21.193151,14.565892
-21.191234,14.565702
-21.194414,14.571525
-21.191853,14.574498
-21.195986,14.568928
-21.194453,14.566477
-21.191834,14.568224
-21.189032,14.573019
-21.190100,14.576517
-21.196305,14.581238
-21.191099,14.577055
-21.183339,14.578188
-21.193536,14.582672
-21.196580,14.580714
-21.179442,14.552669
-21.174412,14.542999
-21.171722,14.542755
-21.177000,14.541692
-21.173939,14.546637
-21.185154,14.548398
-21.176394,14.555170
-21.185588,14.550370
-21.179614,14.554066
-21.180147,14.554707
-21.185197,14.553198
-21.185143,14.554911
-21.172979,14.555120
-21.178449,14.553426
-21.176947,14.547739
-21.172389,14.560369
-21.174532,14.553934
-21.175028,14.550845
-21.170330,14.558174
-21.174966,14.565708
-21.176857,14.561841
-21.162532,14.564536
-21.171529,14.561944
-21.174092,14.564228
-21.176727,14.559738
-21.170945,14.565103
-21.178128,14.561286
-21.166215,14.563346
-21.163952,14.560467
-21.167658,14.561506
-21.168022,14.556042
-21.165253,14.548133
-21.156083,14.552100
-21.152956,14.550434
-21.162180,14.553505
-21.159225,14.549880
-21.155838,14.550501
-21.167781,14.558078
-21.152584,14.558651
