Site,Gorge,Site Nickname,Discoverer,Date of Discovery,Publication,ISBN 10,Site Pager,Number of Figures,Figure Category,Distance to next Site,Next Site,Cardinal Points,Painting Location,Water in Sight,Water Availability,Open Field in Sight,Open Field,Living Place,Spatiality,Visibility,Context,View from Site,Evidence of Human Occupation,Degradation of Paintings,Quantity of Artefacts,Lithics,Pottery,O.E.S.,Bone,Charcoal,Grinding Implements,Stone Structures,Miscellenous Artefact,Remarks
A 1,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 1,44,4,590.9973,A 4,SE,5; 6,,>300m,,adjacent,unfavourable,19,<15m,isolated,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 2,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 2,91,3,43.4968,A 3,NW,5; 8; 11,,within shouting distance,True,within shouting distance,spacious,16,<15m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 3,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 3,223,2,43.4968,A 2,NW,5; 6; 10,,within shouting distance,,within shouting distance,spacious,10,<15m,marginal,poor,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 4,Amis,,Toiwo & Shipahu,21.03.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 4,6,5,100.2331,A 65,W,1; 6,,within shouting distance,,within shouting distance,� vertical rock,1,<3m,marginal,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 5,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 5,35,4,188.5292,A 7,N; SE; S,1; 3; 7; 8; 11; 12,,within shouting distance,,adjacent,unfavourable,8,>15m,isolated,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 6,Amis,�Lufthöhle�,P.Swoboda,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 6,634,1,57.5788,A 23,SW,5; 6; 10; 11,,<300m,True,within shouting distance,spacious,16,<15m,marginal,magnificent,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 7,Amis,,Toiwo & Shipahu,25.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 7,18,5,132.1205,A 14,SE,5,,within shouting distance,,>300m,unfavourable,5,<1m,isolated,magnificent,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 8,Amis,,Toiwo & Shipahu,08.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 8,7,5,37644,A 13,SE,5,,<300m,,within shouting distance,unfavourable,22,<1m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 9,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 9,64,3,68.9706,A 6,N; W,1,,within shouting distance,,adjacent,� vertical rock,0,<15m,marginal,rather nice,NA,NA,medium quantity,NA,NA,NA,NA,NA,NA,NA,NA,
A 10,Amis,�Riesenhöhle�,Jipsen,08.07.1971,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 10,1073,1,232993,A 12,W,5; 6,,>300m,,<300m,spacious,50,<3m,isolated,poor,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 11,Amis,,,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 11,20,4,88.3471,A 20,SE,5,,>300m,True,within shouting distance,spacious,23,<3m,isolated,rather nice,NA,NA,many,NA,NA,NA,NA,NA,NA,NA,NA,
A 12,Amis,,Gebhardt,,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 12,186,3,181.6385,A 13,N; SW,1; 4; 5; 7; 8; 9; 10; 11; 12,,>300m,True,within shouting distance,spacious,22,<15m,marginal,rather nice,NA,NA,few,NA,NA,NA,NA,NA,NA,NA,NA,
A 13,Amis,,Toiwo & Shipahu,15.07.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 13,32,4,37644,A 8,S,1,,>300m,,adjacent,� vertical rock,3,>15m,central,rather nice,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
A 14,Amis,,Toiwo & Shipahu,08.04.1979,Pager; Harald: The Rock Paintings of the Upper Brandberg; Part 1 � Amis Gorge. Africa Praehistorica 1 (Köln: Heinrich Barth Institut); 1989.,3-927688-01-0,A 14,20,4,33.7323,A 15,NE,5; 6,,>300m,,within shouting distance,unfavourable,10,<15m,marginal,poor,NA,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,
